baseline,split,sample_idx,source_time,target_time,target_var,n_land_pixels,mae,rmse,mean_signed_error
climatology,val,0,2024-07-01T06:00:00,2024-07-01T12:00:00,swvl1,351848,2.606359e-02,4.300765e-02,3.892941e-03
climatology,val,0,2024-07-01T06:00:00,2024-07-01T12:00:00,stl1,351848,2.303867e+00,3.240094e+00,-6.233212e-01
climatology,val,0,2024-07-01T06:00:00,2024-07-01T12:00:00,sd,351848,2.262756e-03,1.241624e-02,1.836151e-03
climatology,val,1,2024-07-01T07:00:00,2024-07-01T13:00:00,swvl1,351848,2.604524e-02,4.297073e-02,3.807298e-03
climatology,val,1,2024-07-01T07:00:00,2024-07-01T13:00:00,stl1,351848,2.280025e+00,3.199409e+00,-6.499571e-01
climatology,val,1,2024-07-01T07:00:00,2024-07-01T13:00:00,sd,351848,2.258888e-03,1.239580e-02,1.832331e-03
climatology,val,2,2024-07-01T08:00:00,2024-07-01T14:00:00,swvl1,351848,2.603920e-02,4.295124e-02,3.752896e-03
climatology,val,2,2024-07-01T08:00:00,2024-07-01T14:00:00,stl1,351848,2.221881e+00,3.113198e+00,-6.864331e-01
climatology,val,2,2024-07-01T08:00:00,2024-07-01T14:00:00,sd,351848,2.255053e-03,1.237611e-02,1.828426e-03
climatology,val,3,2024-07-01T09:00:00,2024-07-01T15:00:00,swvl1,351848,2.602969e-02,4.294225e-02,3.719721e-03
climatology,val,3,2024-07-01T09:00:00,2024-07-01T15:00:00,stl1,351848,2.198155e+00,3.090947e+00,-7.007189e-01
climatology,val,3,2024-07-01T09:00:00,2024-07-01T15:00:00,sd,351848,2.250938e-03,1.235594e-02,1.824206e-03
climatology,val,4,2024-07-01T10:00:00,2024-07-01T16:00:00,swvl1,351848,2.602806e-02,4.296037e-02,3.681732e-03
climatology,val,4,2024-07-01T10:00:00,2024-07-01T16:00:00,stl1,351848,2.185964e+00,3.104587e+00,-7.174801e-01
climatology,val,4,2024-07-01T10:00:00,2024-07-01T16:00:00,sd,351848,2.246264e-03,1.233440e-02,1.819218e-03
climatology,val,5,2024-07-01T11:00:00,2024-07-01T17:00:00,swvl1,351848,2.602698e-02,4.300729e-02,3.634347e-03
climatology,val,5,2024-07-01T11:00:00,2024-07-01T17:00:00,stl1,351848,2.111083e+00,3.021818e+00,-7.358749e-01
climatology,val,5,2024-07-01T11:00:00,2024-07-01T17:00:00,sd,351848,2.240653e-03,1.231036e-02,1.813463e-03
climatology,val,6,2024-07-01T12:00:00,2024-07-01T18:00:00,swvl1,351848,2.601880e-02,4.307246e-02,3.595395e-03
climatology,val,6,2024-07-01T12:00:00,2024-07-01T18:00:00,stl1,351848,2.101650e+00,3.029132e+00,-7.582892e-01
climatology,val,6,2024-07-01T12:00:00,2024-07-01T18:00:00,sd,351848,2.234502e-03,1.228348e-02,1.807401e-03
climatology,val,7,2024-07-01T13:00:00,2024-07-01T19:00:00,swvl1,351848,2.601092e-02,4.313670e-02,3.547467e-03
climatology,val,7,2024-07-01T13:00:00,2024-07-01T19:00:00,stl1,351848,2.098505e+00,3.048416e+00,-7.618615e-01
climatology,val,7,2024-07-01T13:00:00,2024-07-01T19:00:00,sd,351848,2.227684e-03,1.225536e-02,1.800512e-03
climatology,val,8,2024-07-01T14:00:00,2024-07-01T20:00:00,swvl1,351848,2.599282e-02,4.317134e-02,3.510055e-03
climatology,val,8,2024-07-01T14:00:00,2024-07-01T20:00:00,stl1,351848,2.052383e+00,3.013502e+00,-7.526408e-01
climatology,val,8,2024-07-01T14:00:00,2024-07-01T20:00:00,sd,351848,2.220550e-03,1.222665e-02,1.793008e-03
climatology,val,9,2024-07-01T15:00:00,2024-07-01T21:00:00,swvl1,351848,2.599016e-02,4.322543e-02,3.468178e-03
climatology,val,9,2024-07-01T15:00:00,2024-07-01T21:00:00,stl1,351848,2.033924e+00,3.013499e+00,-7.696938e-01
climatology,val,9,2024-07-01T15:00:00,2024-07-01T21:00:00,sd,351848,2.213478e-03,1.219911e-02,1.785358e-03
climatology,val,10,2024-07-01T16:00:00,2024-07-01T22:00:00,swvl1,351848,2.579051e-02,4.282055e-02,3.165640e-03
climatology,val,10,2024-07-01T16:00:00,2024-07-01T22:00:00,stl1,351848,2.033081e+00,3.008329e+00,-7.286601e-01
climatology,val,10,2024-07-01T16:00:00,2024-07-01T22:00:00,sd,351848,2.207133e-03,1.218028e-02,1.779615e-03
climatology,val,11,2024-07-01T17:00:00,2024-07-01T23:00:00,swvl1,351848,2.578873e-02,4.283616e-02,3.108717e-03
climatology,val,11,2024-07-01T17:00:00,2024-07-01T23:00:00,stl1,351848,2.015339e+00,2.980152e+00,-6.992793e-01
climatology,val,11,2024-07-01T17:00:00,2024-07-01T23:00:00,sd,351848,2.201190e-03,1.215880e-02,1.773096e-03
climatology,val,12,2024-07-01T18:00:00,2024-07-02T00:00:00,swvl1,351848,2.619315e-02,4.361842e-02,3.074353e-03
climatology,val,12,2024-07-01T18:00:00,2024-07-02T00:00:00,stl1,351848,2.037851e+00,3.007651e+00,-7.094253e-01
climatology,val,12,2024-07-01T18:00:00,2024-07-02T00:00:00,sd,351848,2.258292e-03,1.249839e-02,1.823386e-03
climatology,val,13,2024-07-01T19:00:00,2024-07-02T01:00:00,swvl1,351848,2.620252e-02,4.361682e-02,3.044257e-03
climatology,val,13,2024-07-01T19:00:00,2024-07-02T01:00:00,stl1,351848,2.049239e+00,3.013246e+00,-6.979420e-01
climatology,val,13,2024-07-01T19:00:00,2024-07-02T01:00:00,sd,351848,2.252031e-03,1.247769e-02,1.816145e-03
