baseline,split,sample_idx,source_time,target_time,target_var,n_land_pixels,mae,rmse,mean_signed_error
persistence,val,0,2024-07-01T06:00:00,2024-07-01T12:00:00,swvl1,351848,4.489228e-03,1.103926e-02,-1.949965e-04
persistence,val,0,2024-07-01T06:00:00,2024-07-01T12:00:00,stl1,351848,2.926380e+00,5.121937e+00,-1.295725e+00
persistence,val,0,2024-07-01T06:00:00,2024-07-01T12:00:00,sd,351848,2.031154e-05,2.960789e-04,7.394931e-06
persistence,val,1,2024-07-01T07:00:00,2024-07-01T13:00:00,swvl1,351848,4.564948e-03,1.145622e-02,-3.551231e-04
persistence,val,1,2024-07-01T07:00:00,2024-07-01T13:00:00,stl1,351848,2.843636e+00,4.946835e+00,-1.183710e+00
persistence,val,1,2024-07-01T07:00:00,2024-07-01T13:00:00,sd,351848,2.050477e-05,2.934695e-04,8.408167e-06
persistence,val,2,2024-07-01T08:00:00,2024-07-01T14:00:00,swvl1,351848,4.656379e-03,1.181840e-02,-4.836539e-04
persistence,val,2,2024-07-01T08:00:00,2024-07-01T14:00:00,stl1,351848,2.745720e+00,4.547170e+00,-7.152588e-01
persistence,val,2,2024-07-01T08:00:00,2024-07-01T14:00:00,sd,351848,2.128700e-05,2.966585e-04,9.364338e-06
persistence,val,3,2024-07-01T09:00:00,2024-07-01T15:00:00,swvl1,351848,4.761115e-03,1.209962e-02,-5.573295e-04
persistence,val,3,2024-07-01T09:00:00,2024-07-01T15:00:00,stl1,351848,2.701403e+00,4.399914e+00,-4.042186e-01
persistence,val,3,2024-07-01T09:00:00,2024-07-01T15:00:00,sd,351848,2.248806e-05,3.090969e-04,1.036287e-05
persistence,val,4,2024-07-01T10:00:00,2024-07-01T16:00:00,swvl1,351848,3.890108e-03,1.101246e-02,-3.374670e-04
persistence,val,4,2024-07-01T10:00:00,2024-07-01T16:00:00,stl1,351848,2.577627e+00,4.090710e+00,-1.197354e-01
persistence,val,4,2024-07-01T10:00:00,2024-07-01T16:00:00,sd,351848,1.859980e-05,2.280356e-04,6.357692e-06
persistence,val,5,2024-07-01T11:00:00,2024-07-01T17:00:00,swvl1,351848,3.866833e-03,1.101753e-02,-3.322277e-04
persistence,val,5,2024-07-01T11:00:00,2024-07-01T17:00:00,stl1,351848,3.001170e+00,4.523376e+00,4.022682e-01
